Schlüssel-Profilmap,Profilnummer,Buchungskreis,Sparte,Profilname,Profiltyp,ProfilID (SBP),SBPNomenklatur,ProfilID (SBP) Map SigLinDe,SBPNomenklaturMapSigLinDE,Stand
,1100043440,,Strom,G4 von VNB SVN0001329 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100043445,,Strom,G6 von VNB SVN0000147 an LIEF SLF9000506,Gewerbe Wochenendbetrieb,G6,G6,G6,G6,2019-04-13 00:00:00
,1100043450,,Strom,B0 von VNB SVN0000546 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043455,,Strom,BAL von VNB SVN0001675 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043456,,Strom,B0 von VNB SVN0000844 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043458,,Strom,H0 von VNB SVN0001254 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043460,,Strom,G01 von VNB SVN0000397 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043461,,Strom,H0 von VNB SVN0001562 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043462,,Strom,G30 von VNB SVN0001006 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100043466,,Strom,BD1 von VNB SVN0000940 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043480,,Strom,G3 von VNB SVN0001620 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100043481,,Strom,G7 von VNB SVN0000365 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043483,,Strom,B11 von VNB SVN0000196 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043486,,Strom,G7 von VNB SVN0000585 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043489,,Strom,BD von VNB SVN0000974 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043490,,Strom,G7 von VNB SVN0001064 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043491,,Strom,G3 von VNB SVN0001088 an LIEF SLF9000506,Gewerbe durchlaufend,G3,G3,G3,G3,2019-04-13 00:00:00
,1100043501,,Strom,B24 von VNB SVN0001467 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043502,,Strom,G0 von VNB SVN0001467 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043503,,Strom,BND von VNB SVN0001534 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043504,,Strom,H00 von VNB SVN0001534 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043508,,Strom,BAV von VNB SVN0001698 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043514,,Strom,H00 von VNB SVN0001359 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043516,,Strom,G0 von VNB SVN0001661 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043517,,Strom,G4 von VNB SVN9003461 an LIEF SLF9000506,Laden/Friseur,G4,G4,G4,G4,2019-04-13 00:00:00
,1100043520,,Strom,G7 von VNB SVN0000500 an LIEF SLF9000506,Bandlast,BA,BA,BA,BA,2019-04-13 00:00:00
,1100043527,,Strom,H01 von VNB SVN0001689 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043528,,Strom,G0 von VNB SVN0000728 an LIEF SLF9000506,Gewerbe allgemein,G0,G0,G0,G0,2019-04-13 00:00:00
,1100043538,,Strom,H0 von VNB SVN0000598 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043545,,Strom,H0 von VNB SVN0000075 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043549,,Strom,H0 von VNB SVN0000763 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043556,,Strom,H0 von VNB SVN0000544 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043560,,Strom,H0 von VNB SVN0000460 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043563,,Strom,H0 von VNB SVN0000275 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043564,,Strom,H0 von VNB SVN0001894 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043565,,Strom,SP1 von VNB SVN0001924 an LIEF SLF9000506,Speicherheizung,HBY,HBY,HBY,HBY,2019-04-13 00:00:00
,1100043566,,Strom,HSH von VNB SVN0001000 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043568,,Strom,H0 von VNB SVN0001675 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
,1100043575,,Strom,H00 von VNB SVN0000608 an LIEF SLF9000506,Haushalt,H0,H0,H0,H0,2019-04-13 00:00:00
